corpus,pericope_id,note,chunk_id,text,fw_the,fw_and,fw_of,fw_to,fw_that,fw_in,fw_he,fw_shall,fw_for,fw_unto,fw_his,fw_i,fw_a,fw_not,fw_be,fw_they,fw_it,fw_is,fw_with,fw_him,fw_them,fw_but,fw_as,fw_have,fw_was,fw_which,fw_all,fw_my,fw_thou,fw_me,fw_their,fw_ye,fw_you,fw_this,fw_will,fw_from,fw_are,fw_were,fw_by,fw_we,fw_her,fw_she,fw_or,fw_when,fw_then,fw_out,fw_up,fw_upon,fw_so,fw_if,fw_at,fw_on,fw_what,fw_there,fw_no,fw_man,fw_now,fw_also,fw_more,fw_before,fw_because,fw_into,fw_after,fw_can,fw_may,fw_might,fw_do,fw_did,fw_done,fw_had,fw_has,fw_been,fw_am,fw_art,fw_hath,fw_thee,fw_thy,fw_your,fw_our,fw_us,fw_who,fw_whom,fw_whose,fw_any,fw_every,fw_none,fw_both,fw_such,fw_same,fw_other,fw_another,fw_therefore,fw_wherefore,fw_yet,fw_neither,fw_nor,fw_either,fw_while,fw_until,fw_against,fw_among,fw_through,fw_over,fw_under,fw_between,avg_sent_len,std_sent_len,avg_word_len,ttr,n_words,divine_speech_formula,second_person_density,vocative_density,future_modal_density,pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_part,pos_pron,pos_propn,pos_sconj,pos_verb,imperative_density
1_enoch,ch1_theophany,Enoch's opening blessing/judgment theophany -- the passage Jude 1:14-15 quotes,0,"The words of the blessing of Enoch, wherewith he blessed the elect and righteous, who will be living in the day of tribulation, when all the wicked and godless are to be removed",151.51515151515153,60.60606060606061,90.9090909090909,30.303030303030305,0.0,30.303030303030305,30.303030303030305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.60606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.303030303030305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.303030303030305,0.0,30.303030303030305,0.0,0.0,0.0,0.0,0.0,0.0,30.303030303030305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.303030303030305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,4.303030303030303,0.7575757575757576,33,0,0.0,0.0,30.303030303030305,0.06060606060606061,0.15151515151515152,0.0,0.12121212121212122,0.06060606060606061,0.18181818181818182,0.0,0.18181818181818182,0.0,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.0
1_enoch,ch1_theophany,Enoch's opening blessing/judgment theophany -- the passage Jude 1:14-15 quotes,1,"Concerning the elect I said, and took up my parable concerning them: The Holy Great One will come forth from His dwelling, 4",90.9090909090909,45.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454545454545,45.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,45.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,45.45454545454545,45.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,4.454545454545454,0.9090909090909091,22,0,0.0,0.0,45.45454545454545,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.0,0.08695652173913043,0.043478260869565216,0.0,0.17391304347826086,0.13043478260869565,0.0,0.21739130434782608,0.0
1_enoch,ch1_theophany,Enoch's opening blessing/judgment theophany -- the passage Jude 1:14-15 quotes,2,"And the eternal God will tread upon the earth, (even) on Mount Sinai, And appear from His camp And appear in the strength of His might from the heaven of heavens",129.03225806451613,96.77419354838709,64.51612903225806,0.0,0.0,32.25806451612903,0.0,0.0,0.0,0.0,64.51612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25806451612903,64.51612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25806451612903,0.0,0.0,0.0,32.25806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,4.096774193548387,0.7096774193548387,31,0,0.0,0.0,32.25806451612903,0.03225806451612903,0.1935483870967742,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.12903225806451613,0.0,0.16129032258064516,0.0,0.0,0.06451612903225806,0.12903225806451613,0.03225806451612903,0.0967741935483871,0.0
1_enoch,ch1_theophany,Enoch's opening blessing/judgment theophany -- the passage Jude 1:14-15 quotes,3,"And all shall be smitten with fear And the Watchers shall quake, And great fear and trembling shall seize them unto the ends of the earth",115.38461538461539,153.84615384615387,38.46153846153847,0.0,0.0,0.0,0.0,115.38461538461539,0.0,38.46153846153847,0.0,0.0,0.0,0.0,38.46153846153847,0.0,0.0,0.0,38.46153846153847,0.0,38.46153846153847,0.0,0.0,0.0,0.0,0.0,38.46153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,4.269230769230769,0.6923076923076923,26,0,0.0,0.0,115.38461538461539,0.038461538461538464,0.11538461538461539,0.0,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.0,0.19230769230769232,0.0,0.0,0.07692307692307693,0.038461538461538464,0.0,0.11538461538461539,0.0
1_enoch,ch1_theophany,Enoch's opening blessing/judgment theophany -- the passage Jude 1:14-15 quotes,4,"And the high mountains shall be shaken, And the high hills shall be made low, And shall melt like wax before the flame 7",130.43478260869566,130.43478260869566,0.0,0.0,0.0,0.0,0.0,130.43478260869566,0.0,0.0,0.0,0.0,0.0,0.0,86.95652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,4.086956521739131,0.6521739130434783,23,0,0.0,0.0,130.43478260869566,0.125,0.08333333333333333,0.0,0.20833333333333334,0.125,0.125,0.0,0.16666666666666666,0.041666666666666664,0.0,0.0,0.0,0.0,0.125,0.0
1_enoch,ch1_theophany,Enoch's opening blessing/judgment theophany -- the passage Jude 1:14-15 quotes,5,"And the earth shall be wholly rent in sunder, And all that is upon the earth shall perish, And there shall be a judgement upon all (men)",74.07407407407408,111.1111111111111,0.0,0.0,37.03703703703704,37.03703703703704,0.0,111.1111111111111,0.0,0.0,0.0,0.0,37.03703703703704,0.0,74.07407407407408,0.0,0.0,37.03703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.07407407407408,0.0,0.0,0.0,0.0,0.0,37.03703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,3.925925925925926,0.6666666666666666,27,0,0.0,0.0,111.1111111111111,0.0,0.037037037037037035,0.037037037037037035,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.14814814814814814,0.0,0.07407407407407407,0.037037037037037035,0.0
1_enoch,ch1_theophany,Enoch's opening blessing/judgment theophany -- the passage Jude 1:14-15 quotes,6,But with the righteous He will make peace,125.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.25,1.0,8,0,0.0,0.0,125.0,0.125,0.125,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0
1_enoch,ch1_theophany,Enoch's opening blessing/judgment theophany -- the passage Jude 1:14-15 quotes,7,"And will protect the elect, And mercy shall be upon them",90.9090909090909,181.8181818181818,0.0,0.0,0.0,0.0,0.0,90.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,90.9090909090909,0.0,0.0,0.0,0.0,0.0,90.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.090909090909091,0.9090909090909091,11,0,0.0,0.0,181.8181818181818,0.0,0.0,0.0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0
1_enoch,ch1_theophany,Enoch's opening blessing/judgment theophany -- the passage Jude 1:14-15 quotes,8,"And they shall all belong to God, And they shall be prospered, And they shall all be blessed",0.0,166.66666666666666,0.0,55.55555555555555,0.0,0.0,0.0,166.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,111.1111111111111,166.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.1111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4.055555555555555,0.5555555555555556,18,0,0.0,0.0,166.66666666666666,0.0,0.05555555555555555,0.05555555555555555,0.2777777777777778,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.05555555555555555,0.0,0.16666666666666666,0.0
1_enoch,ch1_theophany,Enoch's opening blessing/judgment theophany -- the passage Jude 1:14-15 quotes,9,"And He will help them all , And light shall appear unto them, And He will make peace with them",0.0,157.89473684210526,0.0,0.0,0.0,0.0,105.26315789473684,52.63157894736842,0.0,52.63157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63157894736842,0.0,157.89473684210526,0.0,0.0,0.0,0.0,0.0,52.63157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.26315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,3.8421052631578947,0.6842105263157895,19,0,0.0,0.0,157.89473684210526,0.0,0.10526315789473684,0.0,0.15789473684210525,0.15789473684210525,0.0,0.0,0.10526315789473684,0.0,0.0,0.3157894736842105,0.0,0.0,0.15789473684210525,0.0
